Architecture and structural engineering,Other,Science and technology
5,5,5
4,4,4
5,4,3
5,4,4
5,4,4
5,4,4
5,4,5
4,4,5
4,4,4
4,5,4
,5,4
,5,5
,5,5
,,4
,,3
,,5
,,4
,,4
,,5
,,4
,,5
,,4
,,5
,,5
,,4
,,5
,,5
,,4
,,5
,,4
,,5
,,4
,,5
,,4
,,5
,,5
,,4
,,5
,,5
